index,name,mass,x,y,z,vx,vy,vz
0,Sun,3.94771623747117388e+01,0,0,0,0,0,0
1,Jupiter,3.76922499762923913e-02,-2.78961248724439415e+00,4.46925328797276045e+00,4.38483500017410807e-02,-2.37222752938832038e+00,-1.33188709664529625e+00,5.86082871598147745e-02
2,Saturn,1.12858875604297196e-02,9.39241786297866099e+00,1.13999796255229269e+00,-3.93727656908812174e-01,-3.58950110947614587e-01,2.01792340952397620e+00,-2.08601463975953451e-02
3,Uranus,1.72366114717660795e-03,9.33064387247003069e+00,1.70791835637428839e+01,-5.75540444007136068e-02,-1.27367894195152331e+00,6.21228794007251284e-01,1.88272614790586899e-02
4,Neptune,2.03360798160328237e-03,2.98549607080291999e+01,1.02070314760677183e+00,-7.09011166737582799e-01,-4.89387662718321417e-02,1.15209768764622589e+00,-2.26164708035133492e-02
5,Pluto,2.90174317583789772e-07,1.96578911830377301e+01,-2.94895972262569934e+01,-2.52963006456501338e+00,9.84075674377486886e-01,3.79358544110050766e-01,-3.25962122868898974e-01
