jd_tdb,body_id,body_name,heliocentric_position_residual_AU,heliocentric_velocity_residual_AU_per_day
2464122.5,4,Mars Barycenter,1.7056253741343684e-06,1.5457866943622674e-08
2464122.5,5,Jupiter Barycenter,1.9351303089791747e-07,2.684869184520816e-10
2464122.5,6,Saturn Barycenter,3.716831409065561e-08,3.099886502906256e-11
2464122.5,7,Uranus Barycenter,1.8806715437022278e-08,1.4084041532655394e-11
2464122.5,8,Neptune Barycenter,4.55988856375852e-08,2.9333930131219464e-11
2464122.5,9,Pluto Barycenter,7.230955337203794e-08,4.241274087357392e-11
2464122.5,10,Sun,0.0,0.0
2464487.75,1,Mercury Barycenter,7.816114968647821e-06,5.725729937296416e-07
2464487.75,2,Venus Barycenter,5.58502932399311e-06,1.5553057843462777e-07
2464487.75,3,Earth-Moon Barycenter,3.942062094479394e-06,6.563758295675994e-08
2464487.75,4,Mars Barycenter,2.621894449731789e-06,2.4975113275139393e-08
2464487.75,5,Jupiter Barycenter,2.1813434146310373e-07,2.907045121097115e-10
2464487.75,6,Saturn Barycenter,4.4197272944142015e-08,3.235471962473359e-11
2464487.75,7,Uranus Barycenter,2.156775359681677e-08,1.1207044358033613e-11
2464487.75,8,Neptune Barycenter,5.5141993628565005e-08,2.6678347940922316e-11
2464487.75,9,Pluto Barycenter,8.793062987282544e-08,4.5587873860609683e-11
2464487.75,10,Sun,0.0,0.0
2464853.0,1,Mercury Barycenter,1.2972383140114755e-05,9.192638903444105e-07
2464853.0,2,Venus Barycenter,6.0469313667267485e-06,1.6953268901799204e-07
2464853.0,3,Earth-Moon Barycenter,4.379136162431449e-06,7.28167627678131e-08
2464853.0,4,Mars Barycenter,2.0784220427728388e-06,1.8654826966044072e-08
2464853.0,5,Jupiter Barycenter,2.2461094883525834e-07,2.9457563884382634e-10
2464853.0,6,Saturn Barycenter,4.933725730401487e-08,2.965096559335873e-11
2464853.0,7,Uranus Barycenter,2.2937821049353697e-08,5.424789556055507e-12
2464853.0,8,Neptune Barycenter,6.444672481005433e-08,2.7680857722376275e-11
2464853.0,9,Pluto Barycenter,1.0574075684619067e-07,5.464627030185701e-11
2464853.0,10,Sun,0.0,0.0
