body_id,body_name,jd_tdb,calendar_tdb,x_au,y_au,z_au,vx_au_per_day,vy_au_per_day,vz_au_per_day
1,Mercury Barycenter,2461200.500000000,A.D. 2026-Jun-09 00:00:00.0000,-0.3965312889737265,-0.07549413075709950,0.001183872506298839,-0.001378224658882666,-0.02356250647600003,-0.01244398506606299
1,Mercury Barycenter,2461565.750000000,A.D. 2027-Jun-09 06:00:00.0000,-0.2791165477409539,-0.3325004673303702,-0.1482220287735693,0.01653212527742424,-0.01349778790817956,-0.008923959011099585
1,Mercury Barycenter,2461931.000000000,A.D. 2028-Jun-08 12:00:00.0000,-0.004476313226636827,-0.4118140250869310,-0.2191422345371811,0.02249057529906606,0.001798365102429235,-0.001370452127248013
1,Mercury Barycenter,2462296.250000000,A.D. 2029-Jun-08 18:00:00.0000,0.2691288839132158,-0.2783474125443094,-0.1763866221549537,0.01610443769039108,0.01763310513996315,0.007750265670335486
1,Mercury Barycenter,2462661.500000000,A.D. 2030-Jun-09 00:00:00.0000,0.3493885190346621,0.03133149117930019,-0.01949766262614386,-0.007056926440709809,0.02571444752037615,0.01446762870318920
1,Mercury Barycenter,2463026.750000000,A.D. 2031-Jun-09 06:00:00.0000,0.04966177276081903,0.2708702535429606,0.1393331427037104,-0.03338500711718879,0.003876114046939232,0.005529804883599469
1,Mercury Barycenter,2463392.000000000,A.D. 2032-Jun-08 12:00:00.0000,-0.3289395610049771,0.1130902261507571,0.09418691718754163,-0.01695956659199635,-0.02242332297252601,-0.01022150632560603
1,Mercury Barycenter,2463757.250000000,A.D. 2033-Jun-08 18:00:00.0000,-0.3805577501844020,-0.1968464677898010,-0.06597812230473545,0.007721547838561983,-0.02047308692886241,-0.01173675734231199
1,Mercury Barycenter,2464122.500000000,A.D. 2034-Jun-09 00:00:00.0000,-0.1790460203296721,-0.3909881431455559,-0.1903558482609903,0.02043265974502879,-0.007359649366170882,-0.006048010442498552
1,Mercury Barycenter,2464487.750000000,A.D. 2035-Jun-09 06:00:00.0000,0.1157168240328907,-0.3855488723480546,-0.2176713637540784,0.02149087944973133,0.008648602309806328,0.002394469319970302
1,Mercury Barycenter,2464853.000000000,A.D. 2036-Jun-08 12:00:00.0000,0.3381483972723125,-0.1693565337327894,-0.1248951200134763,0.008645878724476783,0.02296613153775009,0.01137399275735970
2,Venus Barycenter,2461200.500000000,A.D. 2026-Jun-09 00:00:00.0000,-0.7130523459774673,0.07144214603177348,0.07733560754563841,-0.002965933431065006,-0.01840967193431680,-0.008095956701929540
2,Venus Barycenter,2461565.750000000,A.D. 2027-Jun-09 06:00:00.0000,0.5865970320403801,0.3954727951897921,0.1409833515294955,-0.01189168097511927,0.01461187681552380,0.007327455527394485
2,Venus Barycenter,2461931.000000000,A.D. 2028-Jun-08 12:00:00.0000,-0.09637580921615210,-0.6610918829732496,-0.2912311508519888,0.01990890287437127,-0.002086461595741680,-0.002198475573098452
2,Venus Barycenter,2462296.250000000,A.D. 2029-Jun-08 18:00:00.0000,-0.4285648074050138,0.5139206522287734,0.2584794533864358,-0.01627347340116767,-0.01151240425380180,-0.004150995022352946
2,Venus Barycenter,2462661.500000000,A.D. 2030-Jun-09 00:00:00.0000,0.7178929077974177,-0.07979567066035029,-0.08128627709472550,0.002864600397250019,0.01823281033433334,0.008023048733863175
2,Venus Barycenter,2463026.750000000,A.D. 2031-Jun-09 06:00:00.0000,-0.5706419668602991,-0.4181065303998306,-0.1520876597270390,0.01232256216894122,-0.01432670629431718,-0.007226611925434692
2,Venus Barycenter,2463392.000000000,A.D. 2032-Jun-08 12:00:00.0000,0.09878940546764099,0.6530710452497286,0.2875120218945509,-0.02009333595043513,0.002066573654770951,0.002200909312670572
2,Venus Barycenter,2463757.250000000,A.D. 2033-Jun-08 18:00:00.0000,0.4388956295168676,-0.5164944287978865,-0.2603245123956371,0.01588806721766009,0.01154867542121663,0.004191809284823599
2,Venus Barycenter,2464122.500000000,A.D. 2034-Jun-09 00:00:00.0000,-0.7185837229746254,0.05670477323573842,0.07086552268424504,-0.002467408448248357,-0.01846596771710271,-0.008153426334704710
2,Venus Barycenter,2464487.750000000,A.D. 2035-Jun-09 06:00:00.0000,0.5719786689304716,0.4067949192145091,0.1468537413495287,-0.01229430224553666,0.01432072725782720,0.007222425526833565
2,Venus Barycenter,2464853.000000000,A.D. 2036-Jun-08 12:00:00.0000,-0.08104534417403955,-0.6672939915873106,-0.2950700402705296,0.01997664209007519,-0.001640550652014295,-0.002001680032845359
3,Earth-Moon Barycenter,2461200.500000000,A.D. 2026-Jun-09 00:00:00.0000,-0.2158966731787030,-0.9153537261514461,-0.3966687706072292,0.01654544051703170,-0.003384365467895266,-0.001467311386184567
3,Earth-Moon Barycenter,2461565.750000000,A.D. 2027-Jun-09 06:00:00.0000,-0.2139045939362156,-0.9143398481696904,-0.3962739985258933,0.01654214001220419,-0.003382978994995237,-0.001466657876834417
3,Earth-Moon Barycenter,2461931.000000000,A.D. 2028-Jun-08 12:00:00.0000,-0.2130018822674704,-0.9126670996288099,-0.3955767725585217,0.01653829424423574,-0.003384107176219924,-0.001467070154849980
3,Earth-Moon Barycenter,2462296.250000000,A.D. 2029-Jun-08 18:00:00.0000,-0.2132115292495133,-0.9108943848289273,-0.3948123849245327,0.01653500058155196,-0.003386724569650676,-0.001468134829118105
3,Earth-Moon Barycenter,2462661.500000000,A.D. 2030-Jun-09 00:00:00.0000,-0.2143062406212518,-0.9095659805828599,-0.3942160748103543,0.01653291323000837,-0.003389268899619826,-0.001469182180601324
3,Earth-Moon Barycenter,2463026.750000000,A.D. 2031-Jun-09 06:00:00.0000,-0.2161690012710741,-0.9090910499367727,-0.3939748676150540,0.01653127224406675,-0.003393621569844065,-0.001471020937776474
3,Earth-Moon Barycenter,2463392.000000000,A.D. 2032-Jun-08 12:00:00.0000,-0.2181626492211872,-0.9097120514196499,-0.3942010275450016,0.01653100540968866,-0.003398033285136762,-0.001472953995240225
3,Earth-Moon Barycenter,2463757.250000000,A.D. 2033-Jun-08 18:00:00.0000,-0.2195490338067909,-0.9113123882511083,-0.3948613924029402,0.01653355449669758,-0.003402049184564470,-0.001474746104852721
3,Earth-Moon Barycenter,2464122.500000000,A.D. 2034-Jun-09 00:00:00.0000,-0.2197504398346984,-0.9135458911730751,-0.3958253780712312,0.01653720170261075,-0.003404691028484196,-0.001475987846143417
3,Earth-Moon Barycenter,2464487.750000000,A.D. 2035-Jun-09 06:00:00.0000,-0.2185000234282284,-0.9157262975621605,-0.3967996396133707,0.01654060041511025,-0.003404566239293499,-0.001475998821569393
3,Earth-Moon Barycenter,2464853.000000000,A.D. 2036-Jun-08 12:00:00.0000,-0.2161967664935811,-0.9170333594266312,-0.3974310599954617,0.01654271417044112,-0.003403900854071116,-0.001475749383684121
4,Mars Barycenter,2461200.500000000,A.D. 2026-Jun-09 00:00:00.0000,1.307381884330340,0.5050608288143813,0.1965898682401131,-0.004851042402270878,0.01278064029151004,0.005993015159496896
4,Mars Barycenter,2461565.750000000,A.D. 2027-Jun-09 06:00:00.0000,-1.533033134998250,-0.4987328736461350,-0.1872455208402937,0.005080452040408058,-0.01088789129545468,-0.005131171571105467
4,Mars Barycenter,2461931.000000000,A.D. 2028-Jun-08 12:00:00.0000,0.9829819779515653,0.9988047830438334,0.4317542379104463,-0.009867271888946698,0.009507926458565854,0.004627065826240039
4,Mars Barycenter,2462296.250000000,A.D. 2029-Jun-08 18:00:00.0000,-1.213594424661294,-0.9258628625031832,-0.3918716956938733,0.009440807952532528,-0.008618226362938125,-0.004207738829427673
4,Mars Barycenter,2462661.500000000,A.D. 2030-Jun-09 00:00:00.0000,0.4818417778997826,1.319410119337680,0.5922247186871824,-0.01275163712578492,0.004985096583997281,0.002630309288782740
4,Mars Barycenter,2463026.750000000,A.D. 2031-Jun-09 06:00:00.0000,-0.7267758396422179,-1.222316379417231,-0.5410456470635681,0.01282520353363964,-0.004844360385511041,-0.002567829253398538
4,Mars Barycenter,2463392.000000000,A.D. 2032-Jun-08 12:00:00.0000,-0.09899237141208590,1.431287026160289,0.6591817027828698,-0.01344430408444405,0.0001769968320982289,0.0004436681709148078
4,Mars Barycenter,2463757.250000000,A.D. 2033-Jun-08 18:00:00.0000,-0.1283439200818089,-1.329934948085038,-0.6065055256949605,0.01446860973991774,0.0001591360051869094,-0.0003168877700668146
4,Mars Barycenter,2464122.500000000,A.D. 2034-Jun-09 00:00:00.0000,-0.6657343460210191,1.337200248179696,0.6313996802135262,-0.01224971662210054,-0.004225156655979844,-0.001607676924187557
4,Mars Barycenter,2464487.750000000,A.D. 2035-Jun-09 06:00:00.0000,0.4942099873096337,-1.206991689163329,-0.5667844848939056,0.01363311670143780,0.005690638404789671,0.002242888412424905
4,Mars Barycenter,2464853.000000000,A.D. 2036-Jun-08 12:00:00.0000,-1.141869619259829,1.068807827248414,0.5212102581429301,-0.009589856962668267,-0.007792550366400757,-0.003315837623992057
5,Jupiter Barycenter,2461200.500000000,A.D. 2026-Jun-09 00:00:00.0000,-2.791577704007743,4.078034241060466,1.815955817027790,-0.006488172619881745,-0.003407853458823241,-0.001302740752404497
5,Jupiter Barycenter,2461565.750000000,A.D. 2027-Jun-09 06:00:00.0000,-4.699303908565819,2.359646364295614,1.125853756701414,-0.003757749635647957,-0.005770913885415621,-0.002382079478648430
5,Jupiter Barycenter,2461931.000000000,A.D. 2028-Jun-08 12:00:00.0000,-5.440509816015169,0.04877107956982248,0.1533988147539658,-0.0002372134285189320,-0.006614235842056500,-0.002829251201730572
5,Jupiter Barycenter,2462296.250000000,A.D. 2029-Jun-08 18:00:00.0000,-4.873674727914638,-2.276205952406831,-0.8569427404357054,0.003276532466193389,-0.005856759422727781,-0.002590114179653463
5,Jupiter Barycenter,2462661.500000000,A.D. 2030-Jun-09 00:00:00.0000,-3.137923501719456,-4.053825428166912,-1.661128564655234,0.006045577853498582,-0.003663254332377638,-0.001717331643611057
5,Jupiter Barycenter,2463026.750000000,A.D. 2031-Jun-09 06:00:00.0000,-0.6297362180370842,-4.825208575949418,-2.052820738895194,0.007403526694301685,-0.0004364557291956068,-0.0003673055923782576
5,Jupiter Barycenter,2463392.000000000,A.D. 2032-Jun-08 12:00:00.0000,2.035000026517559,-4.330128287705848,-1.905487961024384,0.006840951542098891,0.003128790933036706,0.001174535507787455
5,Jupiter Barycenter,2463757.250000000,A.D. 2033-Jun-08 18:00:00.0000,4.116500675867003,-2.618586257456545,-1.222555019709783,0.004240546684084704,0.006042060269190634,0.002486525935067223
5,Jupiter Barycenter,2464122.500000000,A.D. 2034-Jun-09 00:00:00.0000,4.952359130787336,-0.1251903694706552,-0.1741818902320489,0.0001859703249089601,0.007256862842150634,0.003105907884360726
5,Jupiter Barycenter,2464487.750000000,A.D. 2035-Jun-09 06:00:00.0000,4.234217953305397,2.403441933097711,0.9271187592984930,-0.004011155353147868,0.006213232991154605,0.002760741025018191
5,Jupiter Barycenter,2464853.000000000,A.D. 2036-Jun-08 12:00:00.0000,2.186369806884875,4.179996604427454,1.738425928348754,-0.006883698501365458,0.003277513179809374,0.001572338899318091
6,Saturn Barycenter,2461200.500000000,A.D. 2026-Jun-09 00:00:00.0000,9.390452646215312,1.197559939471814,0.09018596517856554,-0.0009761194550885737,0.005093178103744931,0.002145766390005351
6,Saturn Barycenter,2461565.750000000,A.D. 2027-Jun-09 06:00:00.0000,8.816583676857048,3.015057044595645,0.8656147277651834,-0.002160691073756127,0.004818005075373400,0.002083124127509346
6,Saturn Barycenter,2461931.000000000,A.D. 2028-Jun-08 12:00:00.0000,7.819929360835767,4.687296859522854,1.599254897641891,-0.003280541155373557,0.004298440021324534,0.001916754380349051
6,Saturn Barycenter,2462296.250000000,A.D. 2029-Jun-08 18:00:00.0000,6.435958522114363,6.126693285759538,2.253403525354446,-0.004270556703735645,0.003546409377645353,0.001648777835732348
6,Saturn Barycenter,2462661.500000000,A.D. 2030-Jun-09 00:00:00.0000,4.723944872223666,7.253141094428138,2.792421577326502,-0.005066514175058307,0.002591225944363302,0.001288533001007987
6,Saturn Barycenter,2463026.750000000,A.D. 2031-Jun-09 06:00:00.0000,2.765449339401564,8.000531427809040,3.185489986957426,-0.005611805451664768,0.001480087239718740,0.0008530726719224595
6,Saturn Barycenter,2463392.000000000,A.D. 2032-Jun-08 12:00:00.0000,0.6602092616279996,8.322960769898245,3.409351183718245,-0.005864681233122323,0.0002757995297487489,0.0003665370948169901
6,Saturn Barycenter,2463757.250000000,A.D. 2033-Jun-08 18:00:00.0000,-1.480474227120907,8.199556740811804,3.450587570901059,-0.005804415833927113,-0.0009484840164462891,-0.0001417524143819709
6,Saturn Barycenter,2464122.500000000,A.D. 2034-Jun-09 00:00:00.0000,-3.542145233575945,7.636928769976485,3.306996859754964,-0.005434732328636061,-0.002116811162607787,-0.0006402623111856842
6,Saturn Barycenter,2464487.750000000,A.D. 2035-Jun-09 06:00:00.0000,-5.416177222125006,6.668669277834018,2.987774172205600,-0.004783433671231099,-0.003158729523133564,-0.001098690446460450
6,Saturn Barycenter,2464853.000000000,A.D. 2036-Jun-08 12:00:00.0000,-7.007918479922330,5.351971315299090,2.512466693656694,-0.003898288081827283,-0.004016478267876704,-0.001491115547265424
7,Uranus Barycenter,2461200.500000000,A.D. 2026-Jun-09 00:00:00.0000,9.328678655706682,15.68775462907274,6.738863140708244,-0.003480510505065052,0.001541558664575340,0.0007243817848066999
7,Uranus Barycenter,2461565.750000000,A.D. 2027-Jun-09 06:00:00.0000,8.033468690205240,16.20809929365373,6.985076526180259,-0.003608693439767274,0.001306018033106609,0.0006230331894527250
7,Uranus Barycenter,2461931.000000000,A.D. 2028-Jun-08 12:00:00.0000,6.694764805547875,16.64063975732475,7.193448611528666,-0.003718506876237655,0.001060944725617247,0.0005172486496625558
7,Uranus Barycenter,2462296.250000000,A.D. 2029-Jun-08 18:00:00.0000,5.319452041968679,16.98209327949511,7.362443789466009,-0.003808998978915541,0.0008074467454920690,0.0004074995854885744
7,Uranus Barycenter,2462661.500000000,A.D. 2030-Jun-09 00:00:00.0000,3.914751946567252,17.22960137143245,7.490707428910468,-0.003879280944317210,0.0005467388767021483,0.0002943054700614791
7,Uranus Barycenter,2463026.750000000,A.D. 2031-Jun-09 06:00:00.0000,2.488197166336833,17.38076860316882,7.577083403794950,-0.003928540375568021,0.0002801419429023410,0.0001782338658175656
