comparison,jd_tdb,body_id,body_name,position_residual_au,position_residual_km,velocity_residual_au_per_day,velocity_residual_m_per_s
coarse_vs_tight,2462661.500000000,1,Mercury Barycenter,2.21481460932174898e-15,3.31331549549786002e-07,1.74854619233085652e-16,3.02753225918158339e-10
coarse_vs_tight,2462661.500000000,2,Venus Barycenter,1.46560215166841379e-15,2.19250961182933150e-07,4.06458703981065656e-17,7.03765701887141652e-11
coarse_vs_tight,2462661.500000000,3,Earth-Moon Barycenter,7.59610828871216051e-16,1.13636162559795993e-07,1.37433049988030597e-17,2.37959394004815255e-11
coarse_vs_tight,2462661.500000000,4,Mars Barycenter,5.55111512312578270e-17,8.30435002430185354e-09,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2462661.500000000,5,Jupiter Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2462661.500000000,6,Saturn Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2462661.500000000,7,Uranus Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2462661.500000000,8,Neptune Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2462661.500000000,9,Pluto Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2462661.500000000,10,Sun,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2463026.750000000,1,Mercury Barycenter,3.39889661190398589e-15,5.08467695870280510e-07,3.16416189295421258e-16,5.47860974231517994e-10
coarse_vs_tight,2463026.750000000,2,Venus Barycenter,2.04507933030269561e-15,3.05939513225865232e-07,5.60036338739728038e-17,9.69678747570453929e-11
coarse_vs_tight,2463026.750000000,3,Earth-Moon Barycenter,1.19187496281280492e-15,1.78301956577437292e-07,2.10781840972317112e-17,3.64959659625979762e-11
coarse_vs_tight,2463026.750000000,4,Mars Barycenter,2.22044604925031308e-16,3.32174000972074142e-08,1.78811203067274900e-18,3.09603880048259599e-12
coarse_vs_tight,2463026.750000000,5,Jupiter Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,5.42101086242752217e-20,9.38624632014731395e-14
coarse_vs_tight,2463026.750000000,6,Saturn Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2463026.750000000,7,Uranus Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2463026.750000000,8,Neptune Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2463026.750000000,9,Pluto Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2463026.750000000,10,Sun,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2463392.000000000,1,Mercury Barycenter,4.24916469857734512e-15,6.35665991160778066e-07,3.34023246332920729e-16,5.78346833515121814e-10
coarse_vs_tight,2463392.000000000,2,Venus Barycenter,2.47449167955568967e-15,3.70178686326397841e-07,7.05301638562096974e-17,1.22119934409850353e-10
coarse_vs_tight,2463392.000000000,3,Earth-Moon Barycenter,1.70193966883623774e-15,2.54606550517764301e-07,2.97506340503047029e-17,5.15119387257002266e-11
